Date,current_price,portfolio_pnl,position,postion_pnl,capital,holding,action,portfolio_value,sortino,mean3,mean5,mean10,mean20,mean50,std3,std5,std10,std20,std50,sortino_delta,returns,benchmark
2013-11-06,26.574,6418.1794,31410.468,0.0,7.7114,1182.0,1.0,31418.1794,-1.1622,27.1274,27.0457,27.1636,27.6815,26.7959,0.5025,0.3785,0.509,0.7537,1.241,2.429,1.256727176,1.23903130449
2013-11-07,25.6212,5290.4698,30284.2584,-1126.2096,6.2114,1182.0,1.0,30290.4698,1.6465,26.4828,26.8042,26.9051,27.598,26.8239,0.8198,0.7522,0.5731,0.8809,1.1968,1.1622,1.211618792,1.19460633923
2013-11-08,26.1401,5891.9896,0.0,0.0,30891.9896,0.0,2.0,30891.9896,1.5628,26.1118,26.6287,26.7646,27.5159,26.8604,0.477,0.7914,0.5709,0.9376,1.1455,-1.6465,1.235679584,1.21880041404
2013-11-11,26.7061,5890.4896,0.0,0.0,30890.4896,0.0,2.0,30890.4896,1.552,26.1558,26.4589,26.7806,27.4589,26.917,0.5426,0.6141,0.5663,0.951,1.0618,-1.5628,1.235619584,1.24519055923
2013-11-12,26.5646,5890.4896,0.0,0.0,30890.4896,0.0,0.0,30890.4896,-0.8003,26.4702,26.3212,26.7155,27.3985,26.9584,0.2946,0.4455,0.5479,0.9682,1.0043,-1.552,1.235619584,1.23859302293
2013-11-13,27.5551,5888.9896,0.0,0.0,30888.9896,0.0,2.0,30888.9896,-0.2133,26.9419,26.5174,26.7815,27.374,27.0135,0.5357,0.7177,0.6083,0.9571,0.9578,0.8003,1.235559584,1.28477577702
2013-11-14,27.6589,5888.9896,0.0,0.0,30888.9896,0.0,0.0,30888.9896,-4.3304,27.2595,26.9249,26.8646,27.3372,27.0661,0.6041,0.6576,0.6691,0.9296,0.9181,0.2133,1.235559584,1.28961552449
2013-11-15,28.1683,5888.9896,0.0,0.0,30888.9896,0.0,0.0,30888.9896,-4.7612,27.7941,27.3306,26.9796,27.2876,27.1252,0.3282,0.6776,0.7869,0.8504,0.8909,4.3304,1.235559584,1.31336665517
2013-11-18,28.0268,5888.9896,0.0,0.0,30888.9896,0.0,0.0,30888.9896,-6.8758,27.9513,27.5947,27.0268,27.2428,27.175,0.263,0.629,0.8377,0.7805,0.8698,4.7612,1.235559584,1.30676911887
2013-11-19,27.489,5887.4896,0.0,0.0,30887.4896,0.0,2.0,30887.4896,-6.2884,27.8947,27.7796,27.0504,27.1815,27.2025,0.3583,0.3006,0.8481,0.703,0.8572,6.8758,1.235499584,1.28169381836
2013-11-20,27.2532,5887.4896,0.0,0.0,30887.4896,0.0,0.0,30887.4896,-4.064,27.5897,27.7192,27.1183,27.141,27.224,0.3965,0.3775,0.8327,0.6721,0.8444,6.2884,1.235499584,1.27069947872
2013-11-21,27.4607,5876.2496,30865.8268,0.0,10.4228,1124.0,1.0,30876.2496,-3.0846,27.401,27.6796,27.3023,27.1037,27.2543,0.1288,0.3954,0.648,0.6293,0.8245,4.064,1.235049984,1.28037431111
2013-11-22,27.4607,5865.0096,0.0,0.0,30865.0096,0.0,2.0,30865.0096,-3.9894,27.3916,27.5381,27.4343,27.0994,27.2873,0.1198,0.2891,0.5032,0.6264,0.7982,3.0846,1.234600384,1.28037431111
2013-11-25,26.857,5880.3766,30858.693,26.857,21.6836,1149.0,1.0,30880.3766,-4.0324,27.2595,27.3042,27.4494,27.115,27.3072,0.3486,0.2673,0.4807,0.6157,0.7739,3.9894,1.235215064,1.25222637709
2013-11-26,27.1966,6259.087,0.0,0.0,31259.087,0.0,2.0,31259.087,-1.4663,27.1715,27.2457,27.5126,27.1141,27.3309,0.3027,0.248,0.383,0.6155,0.7511,4.0324,1.25036348,1.26806046421
2013-11-27,27.423,6259.087,0.0,0.0,31259.087,0.0,0.0,31259.087,-1.5269,27.1589,27.2796,27.4994,27.1405,27.3483,0.2849,0.2606,0.3837,0.617,0.7428,1.4663,1.25036348,1.27861652228
